时间	文号&事件	文号	事件
1981	[主席令第45号]中华人民共和国外国企业所得税法	主席令第45号	中华人民共和国外国企业所得税法
1991	[国发12号]国家高新技术产业开发区税收政策的规定	国发12号	国家高新技术产业开发区税收政策的规定
1991	[税委7号]关于印发《关于运用税收优惠推动技术引进结构优化的暂行规定》的通知	税委7号	关于印发《关于运用税收优惠推动技术引进结构优化的暂行规定》的通知
1991	[主席令第45号]中华人民共和国外商投资企业和外国企业所得税法	主席令第45号	中华人民共和国外商投资企业和外国企业所得税法
1996	[财工字41号]关于促进企业技术进步有关财务税收问题的通知	财工字41号	关于促进企业技术进步有关财务税收问题的通知
1996	[主席令第68号]中华人民共和国促进科技成果转化法1996	主席令第68号	中华人民共和国促进科技成果转化法1996
1997	[海关总署令61号]科学研究和教学用品免征进口税收暂行规定	海关总署令61号	科学研究和教学用品免征进口税收暂行规定
1999	[财税字45号]关于促进科技成果转化有关税收政策的通知	财税字45号	关于促进科技成果转化有关税收政策的通知
1999	[国税发125号]关于促进科技成果转化有关个人所得税问题的通知	国税发125号	关于促进科技成果转化有关个人所得税问题的通知
1999	[国税发135号]关于国家经贸委管理的10个国家局所属科研机构转制后税收征收管理问题的通知	国税发135号	关于国家经贸委管理的10个国家局所属科研机构转制后税收征收管理问题的通知
1999	[财税字273号]关于贯彻落实《中共中央、国务院关于加强技术创新，发展高科技，实现产业化的决定》有关税收问题的通知	财税字273号	关于贯彻落实《中共中央、国务院关于加强技术创新，发展高科技，实现产业化的决定》有关税收问题的通知
2000	[财税25号]关于鼓励软件产业和集成电路产业发展有关税收政策问题的通知	财税25号	关于鼓励软件产业和集成电路产业发展有关税收政策问题的通知
2001	[财税5号]关于非营利性科研机构税收政策的通知	财税5号	关于非营利性科研机构税收政策的通知
2001	[财税112号]关于企业（集团）技术中心等继续享受有关进口税收优惠政策的通知	财税112号	关于企业（集团）技术中心等继续享受有关进口税收优惠政策的通知
2003	[财税55号]关于鼓励科普事业发展税收政策问题的通知	财税55号	关于鼓励科普事业发展税收政策问题的通知
2003	[财税55号]关于鼓励科普事业发展税收政策问题的通知	财税55号	关于鼓励科普事业发展税收政策问题的通知
2003	[财税137号]关于转制科研机构有关税收政策问题的通知	财税137号	关于转制科研机构有关税收政策问题的通知
2007	[财税31号]关于促进创业投资企业发展有关税收政策的通知	财税31号	关于促进创业投资企业发展有关税收政策的通知
